set_no,name,price_store,price_used,aftermarket,popularity,category,year,volume,weight,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6950-1,Mobile Rocket Transport,,72.0,,32.199999999999996,Space,1982.0,,,210,78,8,Gray,Black
8030-1,Universal Set,,11.0,,11.100000000000001,Technical,1982.0,,,141,38,4,Red,Gray
8030-1,Universal Set,,11.0,,11.100000000000001,Technical,1982.0,,,141,38,4,Red,Gray
8050-1,Universal Motor Set,,35.0,,4.0,Technical,1982.0,,,141,41,4,Gray,Blue
8090-1,Universal Set,,85.0,,,Technical,1982.0,,,277,55,5,Gray,Yellow
8700-1,Power Pack,,29.0,,5.0,Technical,1982.0,,,27,18,4,Gray,Yellow
8846-1,Tow Truck,,43.0,,14.100000000000001,Technical,1982.0,,,380,103,7,Gray,Black
1593-1,Super Model Building Instructions,,215.0,,13.200000000000001,Space,1983.0,,,314,118,9,Gray,White
1924-1,Motorcycle,,12.0,,14.100000000000001,Technical,1983.0,,,103,37,4,Black,Gray
3626-1,Roger Racoon and his Sports Car,,16.0,,,Bigfig-Junior,1983.0,,,17,12,5,Yellow,Red
3627-1,Bonnie Bunny ,,16.0,,,Bigfig-Junior,1983.0,,,28,13,5,White,Red
3637-1,Gertrude Goat the painter,,24.0,,,Bigfig-Junior,1983.0,,,15,14,6,Yellow,White
3638-1,Fire Engine,,14.0,,,Bigfig-Junior,1983.0,,,17,13,3,Red,Black
3787-1,Hannah Hippopotamus the public gardener,,12.0,,,Bigfig-Junior,1983.0,,,15,10,7,Yellow,White
3788-1,Paulette Poodles' Living Room,,12.0,,,Bigfig-Junior,1983.0,,,16,10,6,Red,Yellow
6002-1,Town Figures,,321.0,,,Modern-Town,1983.0,,,20,16,8,Black,Yellow
6002-2,Castle Figures,,45.0,,9.0,Historical,1983.0,,,22,12,4,Gray,Black
6307-1,Firemen,,192.0,,4.0,Modern-Town,1983.0,,,22,9,4,Black,Gray
6371-1,Shell Service Station,,89.0,,8.0,Modern-Town,1983.0,,,268,101,10,White,Yellow
6374-1,Holiday Home,,66.0,,20.0,Modern-Town,1983.0,,,266,93,10,White,Red
6384-1,Police Station,,52.0,,27.0,Modern-Town,1983.0,,,401,126,13,White,Black
6606-1,Road Repair Set,,4.0,,8.0,Modern-Town,1983.0,,,26,18,8,Black,White
6623-1,Police Car,,7.0,,25.799999999999997,Modern-Town,1983.0,,,40,24,7,White,Black
6624-1,Delivery Van,,8.0,,27.0,Modern-Town,1983.0,,,40,29,7,Red,Black
6652-1,Construction Truck,,4.0,,12.0,Modern-Town,1983.0,,,45,24,4,Black,Yellow
6654-1,Motorcycle Transport,,8.0,,21.0,Modern-Town,1983.0,,,54,33,8,Red,Black
6683-1,Hamburger Stand,,30.0,,35.0,Modern-Town,1983.0,,,69,41,8,Yellow,White
6692-1,Tractor Trailer,,16.0,,18.0,Modern-Town,1983.0,,,97,47,9,Yellow,Black
6701-1,Minifig Pack,,23.0,,10.0,Space,1983.0,,,36,19,4,Yellow,Red
6711-1,Minifig Pack,4.5,43.0,38.5,5.0,Space,1983.0,,,24,17,5,White,Yellow
6803-1,Space Patrol,,8.0,,14.100000000000001,Space,1983.0,,,25,19,7,Blue,Gray
6823-1,Surface Transport,,8.0,,8.0,Space,1983.0,,,27,20,4,Gray,Black
6844-1,Sismobile,,8.0,,20.0,Space,1983.0,,,46,30,6,Blue,Gray
6930-1,Space Supply Station,,56.0,,46.0,Space,1983.0,,,206,77,9,Gray,Blue
6980-1,Galaxy Commander,,150.0,,51.7,Space,1983.0,,,443,129,10,White,Blue
7727-1,Freight Steam Train Set,,533.0,,5.0,Advanced-models,1983.0,,,569,128,10,Black,Gray
7755-1,Diesel Heavy Shunting Locomotive,,213.0,,15.2,Advanced-models,1983.0,,,163,59,7,Red,Black
7815-1,Passenger Carriage / Sleeper,,141.0,,19.2,Advanced-models,1983.0,,,228,54,8,Black,Yellow
7819-1,Postal Container Wagon,,119.0,,9.0,Advanced-models,1983.0,,,182,55,8,Black,Yellow
