set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
66393-1,Super Pack 3 in 1,Pre-school,Duplo,Product Collection,2011.0,82.0,0.0,,,,"New: Not known, Used: Not known",,,"Motorcycle, Police, Police Helicopter, Police Station",Collection,Box,Contains 5679-1 5680-1 5681-1 
66394-1,3-in-1 Super Pack,Action/Adventure,Ninjago,Product Collection,2011.0,830.0,0.0,,,,"New: $147, Used: Not known",,,,Collection,Box,Contains 2259-1 2260-1 2506-1 
66395-1,Star Wars Super Pack 3 in 1,Licensed,Star Wars,Product Collection,2011.0,366.0,0.0,,,,"New: $101, Used: Not known",,,"Galactic Republic, Mandalorians, Sith",Collection,,Contains 7913-1 7914-1 7957-1 
66396-1,Star Wars Super Pack 3 in 1,Licensed,Star Wars,Product Collection,2011.0,644.0,0.0,,,,"New: $125, Used: Not known",,,"Droid, Galactic Republic, Naboo, Starfighter, Trade Federation",Collection,,Contains 7877-1 7913-1 7929-1 
66397-1,Technic Super Pack 4 in 1,Technical,Technic,Product Collection,2011.0,1272.0,0.0,,,,"New: $114, Used: Not known",,,,Collection,Box,Contains 8047-1 8065-1 8067-1 8069-1 
66404-1,Super Pack 2-in-1,Constraction,HERO Factory,Product Collection,2011.0,61.0,0.0,,,,"New: Not known, Used: Not known",,,"Ccbs, Combo, HERO Factory Hero, Nathan Evo, William Furno",Collection,Box,Contains 2065-1 2067-1 
66405-1,City Trains Super Pack 4-in-1,Modern day,City,Product Collection,2011.0,1232.0,0.0,,,,"New: $302, Used: $222",,,,Collection,Box,Contains 7499-1 7895-1 7937-1 7939-1 
66406-1,Value Pack,Constraction,HERO Factory,Product Collection,2011.0,60.0,0.0,,,,"New: Not known, Used: Not known",,,"Ccbs, Combo, HERO Factory Hero, Natalie Breez, Preston Stormer",Collection,Box,Sold in Korea.Contains 2063-1 2142-1 
66407-1,Value Pack,Constraction,HERO Factory,Product Collection,2011.0,61.0,0.0,,,,"New: Not known, Used: Not known",,,"Ccbs, Combo, HERO Factory Hero, Julius Nex, Mark Surge",Collection,Box,Sold in Korea.Contains 2068-1 2141-1 
66414-1,Super Pack 2-in-1,Constraction,HERO Factory,Product Collection,2011.0,61.0,0.0,,,,"New: Not known, Used: Not known",,,"Ccbs, Combo, HERO Factory Hero, Preston Stormer, Rocka",Collection,Box,Contains 2143-1 2145-1 
88000-1,AAA Battery Box,Technical,Power Functions,Accessories,2011.0,1.0,0.0,/inventories/88000-1,,"£11.99, $12.99, 13.99€","New: $18, Used: $13",4.5,2,Polybag,Normal,Polybag,
